;titles;years;category
225;Deep learning for procedural content generation; 2021 ;Deep Learning
226;Deep convolutional framelets: A general deep learning framework for inverse problems; 2018 ;Deep Learning
227;Deep learning for tomographic image reconstruction; 2020 ;Deep Learning
228;[HTML] VAMPnets for deep learning of molecular kinetics; 2018 ;Deep Learning
229;[HTML] Survey on deep learning with class imbalance; 2019 ;Deep Learning
230;Deep learning--based text classification: a comprehensive review; 2021 ;Deep Learning
231;Deep learning for anomaly detection: A survey; 2019 ;Deep Learning
232;Deep-learning the landscape; 2017 ;Deep Learning
233;Deep learning for radar; 2017 ;Deep Learning
234;Deep learning: A Bayesian perspective; 2017 ;Deep Learning
235;Learning IoT in edge: Deep learning for the Internet of Things with edge computing; 2018 ;Deep Learning
236;Deep learning for image super-resolution: A survey; 2020 ;Deep Learning
237;A survey on deep learning in medical image analysis; 2017 ;Deep Learning
238;[LIVRE] Deep learning architectures;O Calin ;Deep Learning
239;Early diagnosis of Alzheimer's disease with deep learning; 2014 ;Deep Learning
240;[PDF] Deep learning as an opportunity in virtual screening; 2014 ;Deep Learning
241;Backward feature correction: How deep learning performs deep learning; 2020 ;Deep Learning
242;Overfitting in adversarially robust deep learning; 2020 ;Deep Learning
243;What is the effect of importance weighting in deep learning?; 2019 ;Deep Learning
244;[HTML] Medical image fusion method by deep learning; 2021 ;Deep Learning
245;Deep learning and the information bottleneck principle; 2015 ;Deep Learning
246;Deep learning of representations: Looking forward; 2013 ;Deep Learning
247;Deep learning based communication over the air; 2017 ;Deep Learning
248;Machine learning and deep learning techniques for cybersecurity: a review; 2020 ;Deep Learning
249;[HTML] A deep learning approach to antibiotic discovery; 2020 ;Deep Learning
250;Deep materials informatics: Applications of deep learning in materials science; 2019 ;Deep Learning
251;Deep learning applications in ophthalmology; 2018 ;Deep Learning
252;[HTML] Deep learning in medical ultrasound analysis: a review; 2019 ;Deep Learning
253;[PDF] The applications of deep learning on traffic identification; 2015 ;Deep Learning
254;Deep learning wavefront sensing; 2019 ;Deep Learning
255;Understanding deep learning techniques for image segmentation; 2019 ;Deep Learning
256;[PDF] Deep learning and transfer learning approaches for image classification; 2019 ;Deep Learning
257;[HTML] Deep learning interpretation of echocardiograms; 2020 ;Deep Learning
258;Deep learning approach for intelligent intrusion detection system; 2019 ;Deep Learning
259;Droid-sec: deep learning in android malware detection; 2014 ;Deep Learning
260;Deep learning of graph matching; 2018 ;Deep Learning
261;A deep learning approach to flight delay prediction; 2016 ;Deep Learning
262;Ensemble deep learning for speech recognition; 2014 ;Deep Learning
263;The deep Ritz method: a deep learning-based numerical algorithm for solving variational problems; 2018 ;Deep Learning
264;Image recognition based on deep learning; 2015 ;Deep Learning
265;[PDF] Deep learning: the good, the bad, and the ugly; 2019 ;Deep Learning
266;Deep learning with limited numerical precision; 2015 ;Deep Learning
267;[HTML] Deep learning approaches to biomedical image segmentation; 2020 ;Deep Learning
268;Joint deep learning for pedestrian detection; 2013 ;Deep Learning
269;Deep learning in automotive software; 2017 ;Deep Learning
270;If deep learning is the answer, what is the question?; 2021 ;Deep Learning
271;A survey of deep learning techniques for autonomous driving; 2020 ;Deep Learning
272;[LIVRE] Deep learning for the life sciences: applying deep learning to genomics, microscopy, drug discovery, and more; V Pande ;Deep Learning
273;[PDF] Chainer: a next-generation open source framework for deep learning; 2015 ;Deep Learning
274;Hybrid deep learning for face verification; 2013 ;Deep Learning
275;Malware detection using machine learning and deep learning; 2018 ;Deep Learning
276;[LIVRE] Deep learning with TensorFlow; A Menshawy ;Deep Learning
277;Deep learning for recommender systems; 2017 ;Deep Learning
278;Model-driven deep-learning; 2018 ;Deep Learning
279;Deep lagrangian networks: Using physics as model prior for deep learning; 2019 ;Deep Learning
280;List of deep learning models; 2019 ;Deep Learning
281;Hyperspectral image classification with deep learning models; 2018 ;Deep Learning
282;Deep learning type inference; 2018 ;Deep Learning
283;Cancer diagnosis using deep learning: a bibliographic review; 2019 ;Deep Learning
284;Deep learning for the design of photonic structures; 2021 ;Deep Learning
285;Recent advances in deep learning: An overview; 2018 ;Deep Learning
286;Deep learning for time series forecasting: a survey; 2021 ;Deep Learning
287;A deep learning approach to structured signal recovery; 2015 ;Deep Learning
288;Deep learning-based classification of hyperspectral data; 2014 ;Deep Learning
289;Deep learning for intelligent transportation systems: A survey of emerging trends; 2019 ;Deep Learning
290;Deep learning for healthcare: review, opportunities and challenges; 2018 ;Deep Learning
291;Deep learning from temporal coherence in video; 2009 ;Deep Learning
292;[HTML] Deep learning and alternative learning strategies for retrospective real-world clinical data; 2019 ;Deep Learning
293;A brief survey on semantic segmentation with deep learning; 2020 ;Deep Learning
294;Medical image classification using synergic deep learning; 2019 ;Deep Learning
295;Deep Learning applied to NLP; 2017 ;Deep Learning
296;Deep learning for spectrum sensing; 2019 ;Deep Learning
297;Deep learning and its application to LHC physics; 2018 ;Deep Learning
298;A review on the attention mechanism of deep learning; 2021 ;Deep Learning
299;AI applications to medical images: From machine learning to deep learning; 2021 ;Deep Learning
300;A general framework for uncertainty estimation in deep learning; 2020 ;Deep Learning
301;Fake news detection: a deep learning approach; 2018 ;Deep Learning
302;The application of deep learning in cancer prognosis prediction; 2020 ;Deep Learning
303;Changing the learning environment to promote deep learning approaches in first-year accounting students; 2004 ;Deep Learning
304;[LIVRE] Deep learning in computer vision: principles and applications; AI Awad ;Deep Learning
305;A probabilistic framework for deep learning; 2016 ;Deep Learning
306;From machine learning to deep learning: progress in machine intelligence for rational drug discovery; 2017 ;Deep Learning
307;Survey on deep learning for radiotherapy; 2018 ;Deep Learning
308;Deep learning and density-functional theory; 2019 ;Deep Learning
309;[HTML] Machine learning and deep learning frameworks and libraries for large-scale data mining: a survey; 2019 ;Deep Learning
310;Medical imaging using machine learning and deep learning algorithms: a review; 2019 ;Deep Learning
311;Deep learning for hate speech detection in tweets; 2017 ;Deep Learning
312;Fault diagnosis based on deep learning; 2016 ;Deep Learning
313;Deep learning for entity matching: A design space exploration; 2018 ;Deep Learning
314;Deep learning for monocular depth estimation: A review; 2021 ;Deep Learning
315;Sequential deep learning for human action recognition; 2011 ;Deep Learning
316;Application of deep learning for object detection; 2018 ;Deep Learning
317;Deep learning based MIMO communications; 2017 ;Deep Learning
318;Syntactic structure from deep learning; 2021 ;Deep Learning
319;[PDF] Deep learning (adaptive computation and machine learning series); 2017 ;Deep Learning
320;[PDF] Deep hidden physics models: Deep learning of nonlinear partial differential equations; 2018 ;Deep Learning
321;An improved deep learning architecture for person re-identification; 2015 ;Deep Learning
322;[HTML] Deep learning enabled inverse design in nanophotonics; 2020 ;Deep Learning
323;Deep learning using linear support vector machines; 2013 ;Deep Learning
324;Single-model uncertainties for deep learning; 2019 ;Deep Learning
325;Towards biologically plausible deep learning; 2015 ;Deep Learning
326;[PDF] Mango Classification Using Deep Learning; 2020 ;Deep Learning
327;[PDF] Diabetes prediction: a deep learning approach; 2019 ;Deep Learning
328;Deep learning towards mobile applications; 2018 ;Deep Learning
329;Applications of deep learning to MRI images: A survey; 2018 ;Deep Learning
330;[PDF] Survey on neural network architectures with deep learning; 2020 ;Deep Learning
331;Fairness in deep learning: A computational perspective; 2020 ;Deep Learning
332;Hybrid heterogeneous transfer learning through deep learning; 2014 ;Deep Learning
333;Revisiting im2gps in the deep learning era; 2017 ;Deep Learning
334;[HTML] Deep learning in medical imaging; 2019 ;Deep Learning
335;Stock prediction using deep learning; 2017 ;Deep Learning
336;A survey on deep learning for named entity recognition; 2020 ;Deep Learning
337;A survey of deep-learning frameworks; 2017 ;Deep Learning
338;Designing deep learning studies in cancer diagnostics; 2021 ;Deep Learning
339;Deep learning for symbolic mathematics; 2019 ;Deep Learning
340;Practical deep learning with Bayesian principles; 2019 ;Deep Learning
341;On the information bottleneck theory of deep learning; 2019 ;Deep Learning
342;Deep learning based approach for bearing fault diagnosis; 2017 ;Deep Learning
343;[HTML] Weakly-supervised learning for lung carcinoma classification using deep learning; 2020 ;Deep Learning
344;Hdltex: Hierarchical deep learning for text classification; 2017 ;Deep Learning
345;Data classification with deep learning using Tensorflow; 2017 ;Deep Learning
346;Deep learning for natural language processing; 2018 ;Deep Learning
347;Deep learning for sentiment analysis; 2016 ;Deep Learning
348;Network intrusion detection system: A systematic study of machine learning and deep learning approaches; 2021 ;Deep Learning
349;A survey on deep learning based face recognition; 2019 ;Deep Learning
350;Deep learning and its application in geochemical mapping; 2019 ;Deep Learning
351;[LIVRE] Building machine learning and deep learning models on Google cloud platform: A comprehensive guide for beginners;E Bisong ;Deep Learning
